"filename", "language", "PHP", "SCSS", "JavaScript", "XML", "CSS", "SQL", "Markdown", "HTML", "JSON", "Less", "TypeScript", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\EL_DORADO\about.php", "PHP", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 173
"c:\xampp\htdocs\EL_DORADO\admin\cupones.php", "PHP", 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 369
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\.github\ISSUE_TEMPLATE\bug-report-for-adminlte-v3-x.md", "Markdown", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 8, 33
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\.github\ISSUE_TEMPLATE\feature-request-for-adminlte-v3-x.md", "Markdown", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 6, 21
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\.github\workflows\node-install.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 2, 12, 57
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 32, 122
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\config\postcss.config.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\config\rollup.config.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 30
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\js\AdminLTE.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\js\CardRefresh.js", "JavaScript", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 35, 169
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\js\CardWidget.js", "JavaScript", 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 51, 254
