Date : 2023-11-05 23:03:59
Directory : c:\xampp\htdocs\EL_DORADO
Total : 2131 files,  732439 codes, 88751 comments, 103994 blanks, all 925184 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        834 |    368,686 |     81,117 |     64,990 |    514,793 |
| CSS        |        305 |    156,310 |      1,333 |     30,706 |    188,349 |
| HTML       |         87 |     73,579 |      3,559 |      3,346 |     80,484 |
| XML        |        522 |     55,191 |         24 |        520 |     55,735 |
| JSON       |          6 |     53,577 |        136 |          4 |     53,717 |
| SCSS       |        212 |     12,933 |      1,837 |      2,968 |     17,738 |
| TypeScript |         90 |      4,152 |        474 |        202 |      4,828 |
| Markdown   |         31 |      3,795 |        159 |        417 |      4,371 |
| PHP        |         32 |      3,219 |          4 |        636 |      3,859 |
| Less       |          9 |        781 |          6 |        145 |        932 |
| YAML       |          2 |        127 |         19 |         18 |        164 |
| SQL        |          1 |         89 |         83 |         42 |        214 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |      2,131 |    732,439 |     88,751 |    103,994 |    925,184 |
| . (Files)                                                                                                                      |         11 |      1,511 |         87 |        282 |      1,880 |
| admin                                                                                                                          |      1,944 |    647,683 |     87,338 |    100,071 |    835,092 |
| admin (Files)                                                                                                                  |          5 |      1,288 |          0 |        292 |      1,580 |
| admin\dashboard                                                                                                                |      1,937 |    646,186 |     87,338 |     99,761 |    833,285 |
| admin\dashboard (Files)                                                                                                        |          8 |     16,157 |        583 |        173 |     16,913 |
| admin\dashboard\.github                                                                                                        |          3 |         83 |          2 |         26 |        111 |
| admin\dashboard\.github\ISSUE_TEMPLATE                                                                                         |          2 |         40 |          0 |         14 |         54 |
| admin\dashboard\.github\workflows                                                                                              |          1 |         43 |          2 |         12 |         57 |
| admin\dashboard\build                                                                                                          |         93 |      8,573 |      1,063 |      1,972 |     11,608 |
| admin\dashboard\build\config                                                                                                   |          2 |         32 |          8 |          5 |         45 |
| admin\dashboard\build\js                                                                                                       |         12 |      1,448 |        265 |        410 |      2,123 |
| admin\dashboard\build\npm                                                                                                      |          4 |        474 |         46 |         19 |        539 |
| admin\dashboard\build\scss                                                                                                     |         75 |      6,619 |        744 |      1,538 |      8,901 |
| admin\dashboard\build\scss (Files)                                                                                             |         40 |      4,915 |        530 |      1,142 |      6,587 |
| admin\dashboard\build\scss\mixins                                                                                              |          9 |        450 |         50 |        104 |        604 |
| admin\dashboard\build\scss\pages                                                                                               |          8 |        327 |         37 |         82 |        446 |
| admin\dashboard\build\scss\parts                                                                                               |          6 |         50 |         18 |         12 |         80 |
| admin\dashboard\build\scss\plugins                                                                                             |         12 |        877 |        109 |        198 |      1,184 |
| admin\dashboard\dist                                                                                                           |         18 |     53,538 |        552 |     10,695 |     64,785 |
| admin\dashboard\dist\css                                                                                                       |         12 |     51,358 |        124 |     10,298 |     61,780 |
| admin\dashboard\dist\css (Files)                                                                                               |          2 |     26,047 |         31 |      5,155 |     31,233 |
| admin\dashboard\dist\css\alt                                                                                                   |         10 |     25,311 |         93 |      5,143 |     30,547 |
| admin\dashboard\dist\js                                                                                                        |          6 |      2,180 |        428 |        397 |      3,005 |
| admin\dashboard\dist\js (Files)                                                                                                |          3 |      1,742 |        235 |        354 |      2,331 |
| admin\dashboard\dist\js\pages                                                                                                  |          3 |        438 |        193 |         43 |        674 |
| admin\dashboard\docs                                                                                                           |        102 |    110,259 |     12,353 |     22,996 |    145,608 |
| admin\dashboard\docs (Files)                                                                                                   |         10 |        582 |         21 |         96 |        699 |
| admin\dashboard\docs\_includes                                                                                                 |          5 |         91 |         14 |         13 |        118 |
| admin\dashboard\docs\_layouts                                                                                                  |          4 |         70 |          0 |         20 |         90 |
| admin\dashboard\docs\assets                                                                                                    |         64 |    106,331 |     12,163 |     22,589 |    141,083 |
| admin\dashboard\docs\assets\css                                                                                                |         14 |     51,500 |        124 |     10,301 |     61,925 |
| admin\dashboard\docs\assets\css (Files)                                                                                        |          4 |     26,189 |         31 |      5,158 |     31,378 |
| admin\dashboard\docs\assets\css\alt                                                                                            |         10 |     25,311 |         93 |      5,143 |     30,547 |
| admin\dashboard\docs\assets\js                                                                                                 |          6 |      2,180 |        428 |        397 |      3,005 |
| admin\dashboard\docs\assets\js (Files)                                                                                         |          3 |      1,742 |        235 |        354 |      2,331 |
| admin\dashboard\docs\assets\js\pages                                                                                           |          3 |        438 |        193 |         43 |        674 |
| admin\dashboard\docs\assets\plugins                                                                                            |         44 |     52,651 |     11,611 |     11,891 |     76,153 |
| admin\dashboard\docs\assets\plugins\bootstrap                                                                                  |          4 |      7,935 |      1,712 |      2,024 |     11,671 |
| admin\dashboard\docs\assets\plugins\bootstrap\js                                                                               |          4 |      7,935 |      1,712 |      2,024 |     11,671 |
| admin\dashboard\docs\assets\plugins\fontawesome-free                                                                           |         17 |     17,314 |         72 |      3,637 |     21,023 |
| admin\dashboard\docs\assets\plugins\fontawesome-free\css                                                                       |         14 |      8,015 |         60 |      3,634 |     11,709 |
| admin\dashboard\docs\assets\plugins\fontawesome-free\webfonts                                                                  |          3 |      9,299 |         12 |          3 |      9,314 |
| admin\dashboard\docs\assets\plugins\jquery                                                                                     |          5 |     12,471 |      3,350 |      3,680 |     19,501 |
| admin\dashboard\docs\assets\plugins\overlayScrollbars                                                                          |          6 |      9,466 |      2,220 |      1,202 |     12,888 |
| admin\dashboard\docs\assets\plugins\overlayScrollbars\css                                                                      |          2 |        595 |         36 |          7 |        638 |
| admin\dashboard\docs\assets\plugins\overlayScrollbars\js                                                                       |          4 |      8,871 |      2,184 |      1,195 |     12,250 |
| admin\dashboard\docs\assets\plugins\popper                                                                                     |         12 |      5,465 |      4,257 |      1,348 |     11,070 |
| admin\dashboard\docs\assets\plugins\popper (Files)                                                                             |          4 |      1,706 |      1,419 |        413 |      3,538 |
| admin\dashboard\docs\assets\plugins\popper\esm                                                                                 |          4 |      1,859 |      1,419 |        465 |      3,743 |
| admin\dashboard\docs\assets\plugins\popper\umd                                                                                 |          4 |      1,900 |      1,419 |        470 |      3,789 |
| admin\dashboard\docs\components                                                                                                |         10 |      2,664 |        137 |        151 |      2,952 |
| admin\dashboard\docs\javascript                                                                                                |          9 |        521 |         18 |        127 |        666 |
| admin\dashboard\pages                                                                                                          |         51 |     43,007 |      3,078 |      1,133 |     47,218 |
| admin\dashboard\pages (Files)                                                                                                  |          3 |      3,636 |        486 |        145 |      4,267 |
| admin\dashboard\pages\UI                                                                                                       |          8 |      9,169 |        614 |        217 |     10,000 |
| admin\dashboard\pages\charts                                                                                                   |          3 |      3,127 |        207 |        151 |      3,485 |
| admin\dashboard\pages\examples                                                                                                 |         20 |     12,188 |        775 |        296 |     13,259 |
| admin\dashboard\pages\forms                                                                                                    |          4 |      3,987 |        336 |        111 |      4,434 |
